 Rows: Electric field / N (Td)                                         
  0.1000E-01   8.484       16.96       25.43       33.91       42.38       50.86       59.33       67.81       76.28    
   84.75       93.23       101.7       110.2       118.7       127.1       135.6       144.1       152.5       161.0    
   169.5       178.0       186.4       194.9       203.4       211.9       220.3       228.8       237.3       245.8    
   254.2       262.7       271.2       279.7       288.1       296.6       305.1       313.6       322.0       330.5    
   339.0       347.5       355.9       364.4       372.9       381.4       389.8       398.3       406.8       415.3    
   423.7       432.2       440.7       449.2       457.6       466.1       474.6       483.1       491.5       500.0    

 Columns: Mole fraction He
   0.000      0.3333      0.6667       1.000    

 Columns: Mole fraction N2
  0.8000      0.5333      0.2667       0.000    

 Columns: Mole fraction O2
  0.2000      0.1333      0.6667E-01   0.000    

 Mean energy (eV)                                                
  0.5233E-01  0.4307E-01  0.4103E-01  0.4018E-01
   8.036       6.045       5.553       5.377    
   17.90       8.027       7.548       7.187    
   30.32       8.877       8.317       7.953    
   46.57       9.590       8.940       8.598    
   66.57       10.25       9.516       9.216    
   90.75       10.89       10.07       9.833    
   120.3       11.51       10.61       10.45    
   156.8       12.12       11.15       11.09    
   202.5       12.72       11.68       11.73    
   260.6       13.31       12.21       12.39    
   337.2       13.90       12.73       13.06    
   440.6       14.49       13.26       13.76    
   581.7       15.08       13.78       14.47    
   770.9       15.67       14.31       15.19    
   1013.       16.25       14.83       15.94    
   1304.       16.84       15.36       16.70    
   1631.       17.43       15.89       17.49    
   1975.       18.02       16.42       18.28    
   2318.       18.61       16.96       19.10    
   2646.       19.20       17.50       19.94    
   2952.       19.80       18.04       20.78    
   3231.       20.40       18.58       21.66    
   3482.       21.00       19.13       22.53    
   3706.       21.60       19.68       23.43    
   3905.       22.21       20.23       24.34    
   4082.       22.83       20.79       25.26    
   4239.       23.44       21.35       26.20    
   4378.       24.07       21.92       27.13    
   4502.       24.69       22.49       28.10    
   4613.       25.32       23.06       29.06    
   4712.       25.95       23.64       30.05    
   4801.       26.59       24.22       31.02    
   4881.       27.23       24.80       32.03    
   4954.       27.88       25.39       33.04    
   5019.       28.54       25.99       34.06    
   5079.       29.19       26.58       35.07    
   5133.       29.86       27.19       36.12    
   5183.       30.52       27.79       37.16    
   5228.       31.20       28.41       38.21    
   5270.       31.87       29.02       39.26    
   5308.       32.56       29.64       40.34    
   5343.       33.24       30.26       41.41    
   5376.       33.94       30.89       42.47    
   5406.       34.63       31.52       43.57    
   5435.       35.34       32.16       44.68    
   5461.       36.05       32.80       45.79    
   5485.       36.76       33.45       46.89    
   5508.       37.49       34.10       47.99    
   5529.       38.21       34.75       49.11    
   5549.       38.94       35.41       50.27    
   5567.       39.68       36.08       51.40    
   5585.       40.42       36.75       52.56    
   5601.       41.17       37.42       53.72    
   5617.       41.92       38.09       54.87    
   5631.       42.68       38.78       56.02    
   5645.       43.45       39.47       57.20    
   5658.       44.22       40.16       58.38    
   5670.       45.00       40.85       59.60    
   5682.       45.79       41.55       60.80    

 Mobility *N (1/m/V/s)                                           
  0.2619E+26  0.2918E+26  0.2660E+26  0.2392E+26
  0.8436E+24  0.1167E+25  0.1528E+25  0.2121E+25
  0.6354E+24  0.1066E+25  0.1442E+25  0.2188E+25
  0.5546E+24  0.1038E+25  0.1423E+25  0.2240E+25
  0.5176E+24  0.1018E+25  0.1411E+25  0.2289E+25
  0.4959E+24  0.1001E+25  0.1402E+25  0.2339E+25
  0.4829E+24  0.9853E+24  0.1393E+25  0.2390E+25
  0.4767E+24  0.9710E+24  0.1385E+25  0.2443E+25
  0.4761E+24  0.9578E+24  0.1378E+25  0.2497E+25
  0.4805E+24  0.9457E+24  0.1371E+25  0.2552E+25
  0.4898E+24  0.9345E+24  0.1365E+25  0.2606E+25
  0.5047E+24  0.9238E+24  0.1359E+25  0.2661E+25
  0.5259E+24  0.9140E+24  0.1353E+25  0.2715E+25
  0.5536E+24  0.9048E+24  0.1348E+25  0.2768E+25
  0.5865E+24  0.8962E+24  0.1343E+25  0.2819E+25
  0.6215E+24  0.8880E+24  0.1338E+25  0.2871E+25
  0.6539E+24  0.8804E+24  0.1333E+25  0.2921E+25
  0.6793E+24  0.8731E+24  0.1329E+25  0.2967E+25
  0.6950E+24  0.8663E+24  0.1325E+25  0.3011E+25
  0.7001E+24  0.8600E+24  0.1321E+25  0.3055E+25
  0.6956E+24  0.8539E+24  0.1317E+25  0.3096E+25
  0.6830E+24  0.8480E+24  0.1313E+25  0.3133E+25
  0.6645E+24  0.8425E+24  0.1310E+25  0.3174E+25
  0.6420E+24  0.8371E+24  0.1306E+25  0.3204E+25
  0.6169E+24  0.8321E+24  0.1303E+25  0.3238E+25
  0.5905E+24  0.8272E+24  0.1299E+25  0.3268E+25
  0.5637E+24  0.8227E+24  0.1296E+25  0.3296E+25
  0.5371E+24  0.8183E+24  0.1293E+25  0.3324E+25
  0.5112E+24  0.8140E+24  0.1290E+25  0.3344E+25
  0.4862E+24  0.8100E+24  0.1287E+25  0.3368E+25
  0.4623E+24  0.8062E+24  0.1284E+25  0.3387E+25
  0.4396E+24  0.8023E+24  0.1282E+25  0.3408E+25
  0.4181E+24  0.7988E+24  0.1279E+25  0.3421E+25
  0.3978E+24  0.7951E+24  0.1276E+25  0.3439E+25
  0.3787E+24  0.7918E+24  0.1274E+25  0.3451E+25
  0.3607E+24  0.7887E+24  0.1271E+25  0.3466E+25
  0.3438E+24  0.7854E+24  0.1268E+25  0.3473E+25
  0.3279E+24  0.7826E+24  0.1266E+25  0.3485E+25
  0.3130E+24  0.7795E+24  0.1263E+25  0.3493E+25
  0.2989E+24  0.7767E+24  0.1261E+25  0.3500E+25
  0.2858E+24  0.7740E+24  0.1258E+25  0.3506E+25
