BOLSIG+ version: 07/2024
Collision input data:
--------------------------------------------------
He                                                              
crossSections.txt
--------------------------------------------------
N2                                                              
crossSections.txt
--------------------------------------------------
O2                                                              
crossSections.txt



 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3.rad/s)           0.00000    
A3     Cosine of E-B field angle                  0.00000    
A4     Gas temperature (K)                        300.000    
A5     Excitation temperature (K)                 300.000    
A6     Transition energy (eV)                     0.00000    
A7     Ionization degree                          0.00000    
A8     Gas particle density (1/m3)               0.244631E+26
A9     Ion charge parameter                      -1.00000    
A10    Ion/neutral mass ratio                     1.00000    
A11    Coulomb collision model                    0.00000    
A12    Energy sharing                             1.00000    
A13    Growth model                               1.00000    
A14    Maxwellian mean energy (eV)                0.00000    
A15    # of grid points                           100.000    
A16    Grid type                                  0.00000    
A17    Maximum energy                             200.000    
A18    Precision                                 0.100000E-09
A19    Convergence                               0.100000E-04
A20    Maximum # of iterations                    100.000    
A21    Mole fraction He                        
A22    Mole fraction N2                        
A23    Mole fraction O2                        
            R#      A1           A21           A22           A23      
           1  0.100000E-01   0.00000      0.800000      0.200000    
           2   8.48441       0.00000      0.800000      0.200000    
           3   16.9588       0.00000      0.800000      0.200000    
           4   25.4332       0.00000      0.800000      0.200000    
           5   33.9076       0.00000      0.800000      0.200000    
           6   42.3820       0.00000      0.800000      0.200000    
           7   50.8564       0.00000      0.800000      0.200000    
           8   59.3308       0.00000      0.800000      0.200000    
           9   67.8053       0.00000      0.800000      0.200000    
          10   76.2797       0.00000      0.800000      0.200000    
          11   84.7541       0.00000      0.800000      0.200000    
          12   93.2285       0.00000      0.800000      0.200000    
          13   101.703       0.00000      0.800000      0.200000    
          14   110.177       0.00000      0.800000      0.200000    
          15   118.652       0.00000      0.800000      0.200000    
          16   127.126       0.00000      0.800000      0.200000    
          17   135.601       0.00000      0.800000      0.200000    
          18   144.075       0.00000      0.800000      0.200000    
          19   152.549       0.00000      0.800000      0.200000    
          20   161.024       0.00000      0.800000      0.200000    
          21   169.498       0.00000      0.800000      0.200000    
          22   177.973       0.00000      0.800000      0.200000    
          23   186.447       0.00000      0.800000      0.200000    
          24   194.921       0.00000      0.800000      0.200000    
          25   203.396       0.00000      0.800000      0.200000    
          26   211.870       0.00000      0.800000      0.200000    
          27   220.345       0.00000      0.800000      0.200000    
          28   228.819       0.00000      0.800000      0.200000    
          29   237.293       0.00000      0.800000      0.200000    
          30   245.768       0.00000      0.800000      0.200000    
          31   254.242       0.00000      0.800000      0.200000    
          32   262.717       0.00000      0.800000      0.200000    
          33   271.191       0.00000      0.800000      0.200000    
          34   279.665       0.00000      0.800000      0.200000    
          35   288.140       0.00000      0.800000      0.200000    
          36   296.614       0.00000      0.800000      0.200000    
          37   305.089       0.00000      0.800000      0.200000    
          38   313.563       0.00000      0.800000      0.200000    
          39   322.037       0.00000      0.800000      0.200000    
          40   330.512       0.00000      0.800000      0.200000    
          41   338.986       0.00000      0.800000      0.200000    
          42   347.461       0.00000      0.800000      0.200000    
          43   355.935       0.00000      0.800000      0.200000    
          44   364.410       0.00000      0.800000      0.200000    
          45   372.884       0.00000      0.800000      0.200000    
          46   381.358       0.00000      0.800000      0.200000    
          47   389.833       0.00000      0.800000      0.200000    
          48   398.307       0.00000      0.800000      0.200000    
          49   406.782       0.00000      0.800000      0.200000    
          50   415.256       0.00000      0.800000      0.200000    
          51   423.730       0.00000      0.800000      0.200000    
          52   432.205       0.00000      0.800000      0.200000    
          53   440.679       0.00000      0.800000      0.200000    
          54   449.154       0.00000      0.800000      0.200000    
          55   457.628       0.00000      0.800000      0.200000    
          56   466.102       0.00000      0.800000      0.200000    
          57   474.577       0.00000      0.800000      0.200000    
          58   483.051       0.00000      0.800000      0.200000    
          59   491.526       0.00000      0.800000      0.200000    
          60   500.000       0.00000      0.800000      0.200000    
          61  0.100000E-01  0.333333      0.533333      0.133333    
          62   8.48441      0.333333      0.533333      0.133333    
          63   16.9588      0.333333      0.533333      0.133333    
          64   25.4332      0.333333      0.533333      0.133333    
          65   33.9076      0.333333      0.533333      0.133333    
          66   42.3820      0.333333      0.533333      0.133333    
          67   50.8564      0.333333      0.533333      0.133333    
          68   59.3308      0.333333      0.533333      0.133333    
          69   67.8053      0.333333      0.533333      0.133333    
          70   76.2797      0.333333      0.533333      0.133333    
          71   84.7541      0.333333      0.533333      0.133333    
          72   93.2285      0.333333      0.533333      0.133333    
          73   101.703      0.333333      0.533333      0.133333    
          74   110.177      0.333333      0.533333      0.133333    
          75   118.652      0.333333      0.533333      0.133333    
          76   127.126      0.333333      0.533333      0.133333    
          77   135.601      0.333333      0.533333      0.133333    
          78   144.075      0.333333      0.533333      0.133333    
          79   152.549      0.333333      0.533333      0.133333    
          80   161.024      0.333333      0.533333      0.133333    
          81   169.498      0.333333      0.533333      0.133333    
          82   177.973      0.333333      0.533333      0.133333    
          83   186.447      0.333333      0.533333      0.133333    
          84   194.921      0.333333      0.533333      0.133333    
          85   203.396      0.333333      0.533333      0.133333    
          86   211.870      0.333333      0.533333      0.133333    
          87   220.345      0.333333      0.533333      0.133333    
          88   228.819      0.333333      0.533333      0.133333    
          89   237.293      0.333333      0.533333      0.133333    
          90   245.768      0.333333      0.533333      0.133333    
          91   254.242      0.333333      0.533333      0.133333    
          92   262.717      0.333333      0.533333      0.133333    
          93   271.191      0.333333      0.533333      0.133333    
          94   279.665      0.333333      0.533333      0.133333    
          95   288.140      0.333333      0.533333      0.133333    
          96   296.614      0.333333      0.533333      0.133333    
          97   305.089      0.333333      0.533333      0.133333    
          98   313.563      0.333333      0.533333      0.133333    
          99   322.037      0.333333      0.533333      0.133333    
         100   330.512      0.333333      0.533333      0.133333    
         101   338.986      0.333333      0.533333      0.133333    
         102   347.461      0.333333      0.533333      0.133333    
         103   355.935      0.333333      0.533333      0.133333    
         104   364.410      0.333333      0.533333      0.133333    
         105   372.884      0.333333      0.533333      0.133333    
         106   381.358      0.333333      0.533333      0.133333    
         107   389.833      0.333333      0.533333      0.133333    
         108   398.307      0.333333      0.533333      0.133333    
         109   406.782      0.333333      0.533333      0.133333    
         110   415.256      0.333333      0.533333      0.133333    
         111   423.730      0.333333      0.533333      0.133333    
         112   432.205      0.333333      0.533333      0.133333    
         113   440.679      0.333333      0.533333      0.133333    
         114   449.154      0.333333      0.533333      0.133333    
         115   457.628      0.333333      0.533333      0.133333    
         116   466.102      0.333333      0.533333      0.133333    
         117   474.577      0.333333      0.533333      0.133333    
         118   483.051      0.333333      0.533333      0.133333    
         119   491.526      0.333333      0.533333      0.133333    
         120   500.000      0.333333      0.533333      0.133333    
         121  0.100000E-01  0.666667      0.266667      0.666667E-01
         122   8.48441      0.666667      0.266667      0.666667E-01
         123   16.9588      0.666667      0.266667      0.666667E-01
         124   25.4332      0.666667      0.266667      0.666667E-01
         125   33.9076      0.666667      0.266667      0.666667E-01
         126   42.3820      0.666667      0.266667      0.666667E-01
         127   50.8564      0.666667      0.266667      0.666667E-01
         128   59.3308      0.666667      0.266667      0.666667E-01
         129   67.8053      0.666667      0.266667      0.666667E-01
         130   76.2797      0.666667      0.266667      0.666667E-01
         131   84.7541      0.666667      0.266667      0.666667E-01
         132   93.2285      0.666667      0.266667      0.666667E-01
         133   101.703      0.666667      0.266667      0.666667E-01
         134   110.177      0.666667      0.266667      0.666667E-01
         135   118.652      0.666667      0.266667      0.666667E-01
         136   127.126      0.666667      0.266667      0.666667E-01
         137   135.601      0.666667      0.266667      0.666667E-01
         138   144.075      0.666667      0.266667      0.666667E-01
         139   152.549      0.666667      0.266667      0.666667E-01
         140   161.024      0.666667      0.266667      0.666667E-01
         141   169.498      0.666667      0.266667      0.666667E-01
         142   177.973      0.666667      0.266667      0.666667E-01
         143   186.447      0.666667      0.266667      0.666667E-01
         144   194.921      0.666667      0.266667      0.666667E-01
         145   203.396      0.666667      0.266667      0.666667E-01
         146   211.870      0.666667      0.266667      0.666667E-01
         147   220.345      0.666667      0.266667      0.666667E-01
         148   228.819      0.666667      0.266667      0.666667E-01
         149   237.293      0.666667      0.266667      0.666667E-01
         150   245.768      0.666667      0.266667      0.666667E-01
         151   254.242      0.666667      0.266667      0.666667E-01
         152   262.717      0.666667      0.266667      0.666667E-01
         153   271.191      0.666667      0.266667      0.666667E-01
         154   279.665      0.666667      0.266667      0.666667E-01
         155   288.140      0.666667      0.266667      0.666667E-01
         156   296.614      0.666667      0.266667      0.666667E-01
         157   305.089      0.666667      0.266667      0.666667E-01
         158   313.563      0.666667      0.266667      0.666667E-01
         159   322.037      0.666667      0.266667      0.666667E-01
         160   330.512      0.666667      0.266667      0.666667E-01
         161   338.986      0.666667      0.266667      0.666667E-01
         162   347.461      0.666667      0.266667      0.666667E-01
         163   355.935      0.666667      0.266667      0.666667E-01
         164   364.410      0.666667      0.266667      0.666667E-01
         165   372.884      0.666667      0.266667      0.666667E-01
         166   381.358      0.666667      0.266667      0.666667E-01
         167   389.833      0.666667      0.266667      0.666667E-01
         168   398.307      0.666667      0.266667      0.666667E-01
         169   406.782      0.666667      0.266667      0.666667E-01
         170   415.256      0.666667      0.266667      0.666667E-01
         171   423.730      0.666667      0.266667      0.666667E-01
         172   432.205      0.666667      0.266667      0.666667E-01
         173   440.679      0.666667      0.266667      0.666667E-01
         174   449.154      0.666667      0.266667      0.666667E-01
         175   457.628      0.666667      0.266667      0.666667E-01
         176   466.102      0.666667      0.266667      0.666667E-01
         177   474.577      0.666667      0.266667      0.666667E-01
         178   483.051      0.666667      0.266667      0.666667E-01
         179   491.526      0.666667      0.266667      0.666667E-01
         180   500.000      0.666667      0.266667      0.666667E-01
         181  0.100000E-01   1.00000       0.00000       0.00000    
         182   8.48441       1.00000       0.00000       0.00000    
         183   16.9588       1.00000       0.00000       0.00000    
         184   25.4332       1.00000       0.00000       0.00000    
         185   33.9076       1.00000       0.00000       0.00000    
         186   42.3820       1.00000       0.00000       0.00000    
         187   50.8564       1.00000       0.00000       0.00000    
         188   59.3308       1.00000       0.00000       0.00000    
         189   67.8053       1.00000       0.00000       0.00000    
         190   76.2797       1.00000       0.00000       0.00000    
         191   84.7541       1.00000       0.00000       0.00000    
         192   93.2285       1.00000       0.00000       0.00000    
         193   101.703       1.00000       0.00000       0.00000    
         194   110.177       1.00000       0.00000       0.00000    
         195   118.652       1.00000       0.00000       0.00000    
         196   127.126       1.00000       0.00000       0.00000    
         197   135.601       1.00000       0.00000       0.00000    
         198   144.075       1.00000       0.00000       0.00000    
         199   152.549       1.00000       0.00000       0.00000    
         200   161.024       1.00000       0.00000       0.00000    
         201   169.498       1.00000       0.00000       0.00000    
         202   177.973       1.00000       0.00000       0.00000    
         203   186.447       1.00000       0.00000       0.00000    
         204   194.921       1.00000       0.00000       0.00000    
         205   203.396       1.00000       0.00000       0.00000    
         206   211.870       1.00000       0.00000       0.00000    
         207   220.345       1.00000       0.00000       0.00000    
         208   228.819       1.00000       0.00000       0.00000    
         209   237.293       1.00000       0.00000       0.00000    
         210   245.768       1.00000       0.00000       0.00000    
         211   254.242       1.00000       0.00000       0.00000    
         212   262.717       1.00000       0.00000       0.00000    
         213   271.191       1.00000       0.00000       0.00000    
         214   279.665       1.00000       0.00000       0.00000    
         215   288.140       1.00000       0.00000       0.00000    
         216   296.614       1.00000       0.00000       0.00000    
         217   305.089       1.00000       0.00000       0.00000    
         218   313.563       1.00000       0.00000       0.00000    
         219   322.037       1.00000       0.00000       0.00000    
         220   330.512       1.00000       0.00000       0.00000    
         221   338.986       1.00000       0.00000       0.00000    
         222   347.461       1.00000       0.00000       0.00000    
         223   355.935       1.00000       0.00000       0.00000    
         224   364.410       1.00000       0.00000       0.00000    
         225   372.884       1.00000       0.00000       0.00000    
         226   381.358       1.00000       0.00000       0.00000    
         227   389.833       1.00000       0.00000       0.00000    
         228   398.307       1.00000       0.00000       0.00000    
         229   406.782       1.00000       0.00000       0.00000    
         230   415.256       1.00000       0.00000       0.00000    
         231   423.730       1.00000       0.00000       0.00000    
         232   432.205       1.00000       0.00000       0.00000    
         233   440.679       1.00000       0.00000       0.00000    
         234   449.154       1.00000       0.00000       0.00000    
         235   457.628       1.00000       0.00000       0.00000    
         236   466.102       1.00000       0.00000       0.00000    
         237   474.577       1.00000       0.00000       0.00000    
         238   483.051       1.00000       0.00000       0.00000    
         239   491.526       1.00000       0.00000       0.00000    
         240   500.000       1.00000       0.00000       0.00000    


 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. *N (1/m/s)                               
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
A30    Error code                                                      
            R#      E/N (Td)      A1            A2            A6           A11           A12           A13           A14           A16           A18           A20           A21           A22           A23           A27           A28           A29           A30      
           1  0.100000E-01  0.523274E-01  0.261923E+26  0.113997E+25  0.340857E+26  0.117864E+25  0.520159E-14  0.671503E-14   0.00000       0.00000      0.261923E-20  0.262933E-20   0.00000       0.00000      0.734159       8.00000       2.00000       0.00000    
           2   8.48441       8.03572      0.843564E+24  0.509523E+25  0.129777E+25  0.635391E+25  0.171704E-12  0.208499E-12   0.00000       0.00000      0.607241E-16  0.607447E-16   0.00000       0.00000       71.2091       8.00000       2.00000       0.00000    
           3   16.9588       17.9013      0.635435E+24  0.825227E+25  0.986757E+24  0.105667E+26  0.230246E-12  0.276790E-12   0.00000       0.00000      0.182752E-15  0.182894E-15   0.00000       0.00000       199.965       8.00000       2.00000      -1.00000    
           4   25.4332       30.3171      0.554635E+24  0.118635E+26  0.876348E+24  0.161103E+26  0.271002E-12  0.317113E-12   0.00000       0.00000      0.358765E-15  0.359078E-15   0.00000       0.00000       384.957       8.00000       2.00000      -1.00000    
           5   33.9076       46.5665      0.517648E+24  0.166307E+26  0.828048E+24  0.237978E+26  0.299492E-12  0.339771E-12   0.00000       0.00000      0.595154E-15  0.595654E-15   0.00000       0.00000       667.449       7.00000       2.00000      -1.00000    
           6   42.3820       66.5668      0.495901E+24  0.224989E+26  0.799395E+24  0.332858E+26  0.319741E-12  0.354672E-12   0.00000       0.00000      0.890756E-15  0.891560E-15   0.00000       0.00000       1113.57       8.00000       2.00000      -1.00000    
           7   50.8564       90.7531      0.482851E+24  0.296465E+26  0.786763E+24  0.455575E+26  0.334534E-12  0.364257E-12   0.00000       0.00000      0.124883E-14  0.125000E-14   0.00000       0.00000       1853.69       8.00000       2.00000      -1.00000    
           8   59.3308       120.318      0.476664E+24  0.386334E+26  0.787740E+24  0.622380E+26  0.345219E-12  0.368985E-12   0.00000       0.00000      0.167793E-14  0.168011E-14   0.00000       0.00000       3453.59       12.0000       3.00000      -1.00000    
           9   67.8053       156.777      0.476068E+24  0.501933E+26  0.800274E+24  0.856753E+26  0.352407E-12  0.369447E-12   0.00000       0.00000      0.218875E-14  0.219167E-14   0.00000       0.00000       5305.27       12.0000       3.00000      -1.00000    
          10   76.2797       202.460      0.480512E+24  0.656028E+26  0.825160E+24  0.120671E+27  0.356541E-12  0.366030E-12   0.00000       0.00000      0.279590E-14  0.280115E-14   0.00000       0.00000       8978.07       12.0000       3.00000      -1.00000    
          11   84.7541       260.616      0.489817E+24  0.867594E+26  0.865044E+24  0.177307E+27  0.357786E-12  0.359077E-12   0.00000       0.00000      0.351848E-14  0.352317E-14   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          12   93.2285       337.167      0.504716E+24  0.117579E+27  0.924692E+24  0.275530E+27  0.356303E-12  0.348477E-12   0.00000       0.00000      0.438676E-14  0.439075E-14   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          13   101.703       440.585      0.525903E+24  0.164327E+27  0.100493E+25  0.445516E+27  0.352068E-12  0.334438E-12   0.00000       0.00000      0.543967E-14  0.544302E-14   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          14   110.177       581.713      0.553599E+24  0.235980E+27  0.109695E+25  0.716505E+27  0.345126E-12  0.317707E-12   0.00000       0.00000      0.672016E-14  0.672335E-14   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          15   118.652       770.939      0.586541E+24  0.342584E+27  0.118153E+25  0.109197E+28  0.335703E-12  0.299863E-12   0.00000       0.00000      0.825745E-14  0.826191E-14   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          16   127.126       1013.30      0.621494E+24  0.491312E+27  0.123889E+25  0.153809E+28  0.324292E-12  0.282999E-12   0.00000       0.00000      0.100440E-13  0.100527E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          17   135.601       1304.48      0.653881E+24  0.682367E+27  0.125990E+25  0.200309E+28  0.311629E-12  0.268981E-12   0.00000       0.00000      0.120232E-13  0.120409E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          18   144.075       1631.00      0.679319E+24  0.907962E+27  0.124723E+25  0.244413E+28  0.298549E-12  0.258909E-12   0.00000       0.00000      0.141010E-13  0.141334E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          19   152.549       1974.61      0.694997E+24  0.115506E+28  0.120965E+25  0.283806E+28  0.285798E-12  0.253069E-12   0.00000       0.00000      0.161735E-13  0.162264E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          20   161.024       2317.60      0.700130E+24  0.140963E+28  0.115654E+25  0.317811E+28  0.273909E-12  0.251213E-12   0.00000       0.00000      0.181534E-13  0.182318E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          21   169.498       2646.35      0.695559E+24  0.165988E+28  0.109540E+25  0.346672E+28  0.263177E-12  0.252864E-12   0.00000       0.00000      0.199831E-13  0.200907E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          22   177.973       2952.27      0.683027E+24  0.189762E+28  0.103140E+25  0.371014E+28  0.253701E-12  0.257504E-12   0.00000       0.00000      0.216343E-13  0.217732E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          23   186.447       3231.22      0.664540E+24  0.211816E+28  0.967794E+24  0.391543E+28  0.245447E-12  0.264667E-12   0.00000       0.00000      0.231010E-13  0.232720E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          24   194.921       3482.24      0.641972E+24  0.231951E+28  0.906492E+24  0.408917E+28  0.238312E-12  0.273971E-12   0.00000       0.00000      0.243913E-13  0.245943E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          25   203.396       3706.32      0.616888E+24  0.250146E+28  0.848503E+24  0.423698E+28  0.232165E-12  0.285112E-12   0.00000       0.00000      0.255205E-13  0.257548E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          26   211.870       3905.47      0.590501E+24  0.266490E+28  0.794281E+24  0.436351E+28  0.226869E-12  0.297852E-12   0.00000       0.00000      0.265070E-13  0.267711E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          27   220.345       4082.19      0.563706E+24  0.281126E+28  0.743946E+24  0.447252E+28  0.222299E-12  0.312010E-12   0.00000       0.00000      0.273689E-13  0.276614E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          28   228.819       4238.99      0.537134E+24  0.294218E+28  0.697422E+24  0.456703E+28  0.218342E-12  0.327445E-12   0.00000       0.00000      0.281233E-13  0.284426E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          29   237.293       4378.32      0.511214E+24  0.305932E+28  0.654525E+24  0.464947E+28  0.214904E-12  0.344048E-12   0.00000       0.00000      0.287855E-13  0.291297E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          30   245.768       4502.36      0.486221E+24  0.316428E+28  0.615020E+24  0.472181E+28  0.211902E-12  0.361733E-12   0.00000       0.00000      0.293686E-13  0.297361E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          31   254.242       4613.09      0.462320E+24  0.325848E+28  0.578651E+24  0.478564E+28  0.209271E-12  0.380433E-12   0.00000       0.00000      0.298840E-13  0.302731E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          32   262.717       4712.19      0.439599E+24  0.334322E+28  0.545160E+24  0.484224E+28  0.206953E-12  0.400096E-12   0.00000       0.00000      0.303411E-13  0.307504E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          33   271.191       4801.17      0.418089E+24  0.341964E+28  0.514297E+24  0.489268E+28  0.204902E-12  0.420680E-12   0.00000       0.00000      0.307482E-13  0.311761E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          34   279.665       4881.30      0.397788E+24  0.348873E+28  0.485831E+24  0.493782E+28  0.203080E-12  0.442151E-12   0.00000       0.00000      0.311121E-13  0.315573E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          35   288.140       4953.67      0.378665E+24  0.355136E+28  0.459543E+24  0.497840E+28  0.201453E-12  0.464480E-12   0.00000       0.00000      0.314385E-13  0.318998E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          36   296.614       5019.23      0.360676E+24  0.360829E+28  0.435238E+24  0.501502E+28  0.199997E-12  0.487645E-12   0.00000       0.00000      0.317323E-13  0.322086E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          37   305.089       5078.79      0.343769E+24  0.366017E+28  0.412735E+24  0.504818E+28  0.198686E-12  0.511628E-12   0.00000       0.00000      0.319977E-13  0.324879E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          38   313.563       5133.06      0.327885E+24  0.370756E+28  0.391872E+24  0.507831E+28  0.197503E-12  0.536413E-12   0.00000       0.00000      0.322383E-13  0.327414E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          39   322.037       5182.63      0.312964E+24  0.375096E+28  0.372502E+24  0.510577E+28  0.196432E-12  0.561987E-12   0.00000       0.00000      0.324569E-13  0.329721E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          40   330.512       5228.03      0.298946E+24  0.379080E+28  0.354492E+24  0.513088E+28  0.195459E-12  0.588340E-12   0.00000       0.00000      0.326563E-13  0.331827E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
          41   338.986       5269.71      0.285772E+24  0.382745E+28  0.337724E+24  0.515390E+28  0.194572E-12  0.615463E-12   0.00000       0.00000      0.328386E-13  0.333754E-13   0.00000       0.00000       10000.0       8.00000       2.00000       1.00000    
